RowNo,Month,DayofMonth,DayOfWeek,DepTime,ShDepTime,ArrTime,ShArrTime,UniqueCarrierCode,FlightNum,TailNum,ActualElapsedTime,ShElapsedTime,AirTime,ArrDelay,DepDelay,OriginCode,DestCode,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
81,7,12,6,825,830,930,929,9E,5848,85169E,65,59,21,1,-5,LAN,DTW,74,24,20,0,,0,,,,,
82,11,11,2,1841,1841,2055,2100,FL,542,N175AT,254,259,232,-5,0,ATL,PHX,1587,6,16,0,,0,,,,,
83,5,19,1,1553,1545,1651,1647,CO,6,N19638,58,62,33,4,8,IAH,SAT,191,3,22,0,,0,,,,,
84,10,11,6,613,615,627,630,MQ,4176,N630MQ,74,75,55,-3,-2,CMH,ORD,296,8,11,0,,0,,,,,
85,8,11,1,2043,2045,2201,2205,MQ,3180,N821AE,78,80,64,-4,-2,SAN,SJC,417,3,11,0,,0,,,,,
86,8,29,5,1829,1835,1816,1830,MQ,4280,N667GB,47,55,31,-14,-6,FWA,ORD,157,8,8,0,,0,,,,,
87,2,2,6,1734,1310,1906,1425,OO,4077,N611SK,92,75,57,281,264,ASE,SLC,291,5,30,0,,0,0,281,0,0,0
88,6,25,3,1015,1015,1149,1155,MQ,4426,N642AE,94,100,76,-6,0,ORD,MEM,491,4,14,0,,0,,,,,
89,9,18,4,856,903,1024,1009,EV,4554,N850AS,88,66,50,15,-7,CAE,ATL,191,23,15,0,,0,0,0,0,0,15
90,4,5,6,1655,1651,1925,1929,US,456,N815AW,90,98,73,-4,4,PHX,SLC,507,5,12,0,,0,,,,,
91,1,13,7,1214,1218,1431,1422,FL,211,N980AT,137,124,122,9,-4,PHF,FLL,792,8,7,0,,0,,,,,
92,7,11,5,1505,1510,1801,1733,AA,2356,N575AA,176,143,138,28,-5,DFW,ORD,802,26,12,0,,0,0,0,28,0,0
93,4,23,3,909,907,1122,1130,FL,743,N894AT,73,83,60,-8,2,MSY,ATL,425,6,7,0,,0,,,,,
94,6,18,3,1520,1505,1740,1735,WN,2812,N709SW,140,150,128,5,15,HOU,MDW,937,6,6,0,,0,,,,,
95,4,27,7,1729,1725,1850,1850,WN,1665,N682SW,81,85,70,0,4,OAK,SAN,446,2,9,0,,0,,,,,
96,6,3,2,2114,2110,2155,2155,WN,1253,N267WN,41,45,31,0,4,AUS,HOU,148,4,6,0,,0,,,,,
97,5,20,2,731,730,1045,1050,WN,2531,N227WN,134,140,119,-5,1,DEN,MDW,895,5,10,0,,0,,,,,
98,11,17,1,2001,2010,2024,2035,WN,2974,N223WN,83,85,74,-11,-9,TPA,BHM,460,2,7,0,,0,,,,,
99,10,20,1,1140,1145,1527,1548,XE,2916,N14180,167,183,147,-21,-5,OMA,EWR,1133,7,13,0,,0,,,,,
100,1,29,2,1016,1020,1546,1550,DL,1486,N671DN,210,210,172,-4,-4,SLC,CVG,1449,11,27,0,,0,,,,,
101,1,9,3,838,828,1056,1015,OH,5381,N784CA,138,107,64,41,10,JFK,RIC,288,6,68,0,,0,0,10,31,0,0
102,2,2,6,1908,1840,2008,1950,WN,1561,N424WN,60,70,50,18,28,HOU,LIT,393,4,6,0,,0,0,0,0,0,18
103,1,3,4,629,630,1129,1135,AA,2416,N3BRAA,180,185,143,-6,-1,LAX,DFW,1235,11,26,0,,0,,,,,
104,3,20,4,1215,1141,1904,1855,DL,762,N391DA,229,254,214,9,34,SEA,CVG,1964,3,12,0,,0,,,,,
105,3,20,4,1133,1133,1316,1309,US,160,N668AW,103,96,71,7,0,LAS,SJC,386,5,27,0,,0,,,,,
106,4,19,6,1255,1300,1548,1613,EV,4259,N924EV,113,133,102,-25,-5,OMA,ATL,821,5,6,0,,0,,,,,
107,8,14,4,2052,1415,2300,1526,OH,5248,N868CA,128,71,39,454,397,ALB,JFK,145,31,58,0,,0,0,0,454,0,0
108,3,10,1,611,615,730,750,WN,1836,N776WN,79,95,64,-20,-4,DEN,SLC,391,5,10,0,,0,,,,,
109,8,5,2,1549,1540,1555,1602,DL,711,N952DL,66,82,51,-7,9,ATL,GPT,352,5,10,0,,0,,,,,
110,3,15,6,1414,1405,1505,1500,MQ,3503,N692AE,51,55,37,5,9,AUS,DAL,189,2,12,0,,0,,,,,
111,9,1,1,1723,1725,1849,1855,AA,1860,N539AA,86,90,59,-6,-2,ORD,MSP,334,4,23,0,,0,,,,,
112,4,16,3,2120,2115,2215,2210,AA,1224,N596AA,55,55,39,5,5,DFW,OKC,175,5,11,0,,0,,,,,
113,9,12,5,,1910,,2155,CO,553,,,285,,,,IAH,PDX,1825,,,1,B,0,,,,,
114,7,2,3,724,725,,851,OO,5515,N290SW,,86,,,-1,LAX,MRY,267,,16,0,,1,,,,,
115,1,21,1,655,700,1004,1006,OH,5326,N716CA,129,126,100,-2,-5,OKC,CVG,756,18,11,0,,0,,,,,
116,7,8,2,644,645,629,635,MQ,4402,N632AE,45,50,29,-6,-1,MQT,GRB,134,4,12,0,,0,,,,,
117,10,14,2,831,835,1014,1030,WN,946,N260WN,103,115,92,-16,-4,PHX,SJC,621,3,8,0,,0,,,,,
118,4,16,3,558,600,912,928,UA,171,N551UA,374,388,354,-16,-2,BOS,SFO,2704,5,15,0,,0,,,,,
119,5,3,6,1645,1600,1832,1747,XE,2391,N16510,107,107,82,45,45,EWR,DAY,533,5,20,0,,0,45,0,0,0,0
120,12,28,7,1104,1059,1655,1646,US,304,N658AW,231,227,204,9,5,PHX,CLT,1774,6,21,0,,0,,,,,
121,9,27,6,650,653,821,835,NW,664,N319US,151,162,126,-14,-3,PHL,MEM,874,7,18,0,,0,,,,,
122,2,4,1,840,840,1140,1057,XE,2943,N13970,240,197,157,43,0,EWR,MEM,946,5,78,0,,0,0,0,43,0,0
123,7,28,1,618,625,756,758,XE,2522,N14148,98,93,81,-2,-7,RDU,CLE,416,7,10,0,,0,,,,,
124,5,19,1,847,850,1652,1715,AS,12,N549AS,305,325,283,-23,-3,SEA,BOS,2496,7,15,0,,0,,,,,
125,2,7,4,2008,2015,2257,2309,US,186,N650AW,349,354,326,-12,-7,FLL,LAS,2174,3,20,0,,0,,,,,
126,8,14,4,1941,1945,2010,2010,MQ,4384,N655AE,89,85,59,0,-4,SDF,ORD,286,8,22,0,,0,,,,,
127,1,11,5,1800,1800,1857,1900,WN,47,N655WN,57,60,42,-3,0,DAL,HOU,239,7,8,0,,0,,,,,
128,6,11,3,534,542,618,628,OO,6407,N962SW,44,46,31,-10,-8,FAT,SFO,158,5,8,0,,0,,,,,
129,5,24,6,1526,1530,2009,2025,AA,1224,N4WSAA,163,175,140,-16,-4,SAN,DFW,1171,11,12,0,,0,,,,,
130,11,10,1,1547,1550,2102,2110,WN,3506,N414WN,195,200,178,-8,-3,ABQ,MCO,1552,8,9,0,,0,,,,,
131,11,11,2,1158,1200,1421,1334,NW,865,N8921E,143,94,64,47,-2,ORD,MSP,334,2,77,0,,0,0,0,47,0,0
132,8,8,5,1233,1233,1422,1421,FL,175,N919AT,109,108,81,1,0,DCA,ATL,547,8,20,0,,0,,,,,
133,8,20,3,1704,1705,1846,1850,MQ,3938,N673AE,102,105,86,-4,-1,ORD,LIT,552,3,13,0,,0,,,,,
134,8,7,4,825,825,1205,1156,OH,5520,N695CA,160,151,133,9,0,MSP,JFK,1028,5,22,0,,0,,,,,
135,7,6,7,829,830,932,940,WN,2493,N522SW,63,70,52,-8,-1,SJC,ONT,333,3,8,0,,0,,,,,
136,4,25,5,1758,1745,2210,2216,CO,1676,N17345,192,211,173,-6,13,IAH,PHL,1324,7,12,0,,0,,,,,
137,10,31,5,2026,1935,2159,2115,WN,115,N208WN,93,100,77,44,51,RDU,MCO,534,5,11,0,,0,0,0,0,0,44
138,10,14,2,714,715,838,835,MQ,4516,N844MQ,84,80,64,3,-1,MIA,TLH,403,5,15,0,,0,,,,,
139,1,30,3,1543,1545,1708,1715,WN,1009,N613SW,85,90,56,-7,-2,SFO,LAX,337,6,23,0,,0,,,,,
140,3,21,5,1221,1140,1443,1402,XE,2071,N11119,202,202,188,41,41,IAH,SLC,1195,4,10,0,,0,41,0,0,0,0
141,11,30,7,2006,1755,23,2128,B6,141,N591JB,257,213,188,175,131,JFK,RSW,1074,3,66,0,,0,21,0,44,0,110
142,12,26,5,1458,1459,1637,1645,MQ,4716,N833MQ,99,106,75,-8,-1,LGA,RDU,431,5,19,0,,0,,,,,
143,6,11,3,2250,2155,11,2320,WN,1491,N635SW,81,85,66,51,55,LAS,SMF,397,5,10,0,,0,6,0,0,0,45
144,3,18,2,624,630,836,822,FL,183,N313AT,132,112,91,14,-6,DCA,ATL,547,21,20,0,,0,,,,,
145,4,18,5,759,801,947,952,UA,1477,N495UA,228,231,193,-5,-2,ORD,PHX,1440,7,28,0,,0,,,,,
146,12,3,3,1342,1349,1625,1629,EV,5469,N683BR,103,100,75,-4,-7,BMI,ATL,533,19,9,0,,0,,,,,
147,12,29,1,1434,1435,1520,1530,WN,783,N513SW,46,55,37,-10,-1,OKC,DAL,181,2,7,0,,0,,,,,
148,12,17,3,1059,1045,1249,1245,WN,2295,N451WN,110,120,97,4,14,MDW,JAN,666,3,10,0,,0,,,,,
149,6,14,6,1433,1435,1617,1630,WN,1899,N300SW,104,115,93,-13,-2,PHX,OAK,646,4,7,0,,0,,,,,
150,8,6,3,1906,1855,2058,2059,DL,1495,N937DL,112,124,91,-1,11,DTW,ATL,594,6,15,0,,0,,,,,
151,3,16,7,755,755,1006,1000,MQ,4800,N820AE,131,125,110,6,0,LGA,CVG,585,6,15,0,,0,,,,,
152,3,27,4,2130,2130,2331,2334,DL,558,N630DL,121,124,87,-3,0,ATL,PHL,665,7,27,0,,0,,,,,
153,11,6,4,1156,1200,1337,1350,US,1990,N405US,101,110,87,-13,-4,RSW,CLT,600,5,9,0,,0,,,,,
154,6,19,4,1353,1404,1957,1952,UA,178,N540UA,304,288,277,5,-11,ANC,SFO,2018,7,20,0,,0,,,,,
155,11,10,1,1509,1510,1605,1605,MQ,4600,N830MQ,116,115,97,0,-1,DCA,BNA,562,4,15,0,,0,,,,,
156,2,8,5,829,830,1042,1055,DL,1083,N989DL,133,145,108,-13,-1,PHL,ATL,665,7,18,0,,0,,,,,
157,11,7,5,846,840,933,945,US,403,N810AW,107,125,94,-12,6,PHX,SFO,651,3,10,0,,0,,,,,
158,11,27,4,1302,1250,1511,1500,MQ,4291,N672MQ,69,70,47,11,12,ORD,CMH,296,4,18,0,,0,,,,,
159,5,26,1,1401,1401,1531,1531,F9,145,N808FR,150,150,125,0,0,IAH,DEN,861,14,11,0,,0,,,,,
160,12,8,1,949,950,1157,1200,WN,2946,N474WN,68,70,52,-3,-1,DEN,AMA,358,4,12,0,,0,,,,,
161,5,14,3,2316,2315,715,722,UA,224,N421UA,299,307,274,-7,1,SFO,IAD,2419,7,18,0,,0,,,,,
162,12,22,1,1144,1005,1712,1540,AA,400,N4YPAA,208,215,177,92,99,LAS,ORD,1515,11,20,0,,0,0,0,0,0,92
163,8,15,5,1222,1225,1321,1327,EV,4209,N980EV,59,62,39,-6,-3,ATL,TRI,227,5,15,0,,0,,,,,
164,9,9,2,1608,1610,1723,1730,WN,90,N780SW,75,80,65,-7,-2,SMF,SNA,404,4,6,0,,0,,,,,
165,10,30,4,1455,1500,1605,1610,MQ,3455,N500MQ,70,70,45,-5,-5,DFW,AMA,313,4,21,0,,0,,,,,
166,3,15,6,1209,1145,1335,1240,OO,4147,N449SW,86,55,45,55,24,SLC,MTJ,268,31,10,0,,0,55,0,0,0,0
167,1,1,2,1201,1200,1323,1330,WN,3679,N261WN,82,90,62,-7,1,SAN,OAK,446,6,14,0,,0,,,,,
168,5,28,3,1811,1800,1922,1903,XE,2777,N27523,71,63,42,19,11,DAL,IAH,217,18,11,0,,0,11,0,8,0,0
169,2,17,7,1317,1317,1425,1433,YV,2878,N929LR,68,76,42,-8,0,PHX,ELP,347,5,21,0,,0,,,,,
170,7,6,7,1012,1016,1143,1152,FL,926,N603AT,91,96,71,-9,-4,RIC,ATL,481,11,9,0,,0,,,,,
171,8,24,7,854,900,1052,1112,DL,1011,N684DA,118,132,95,-20,-6,PHL,ATL,665,10,13,0,,0,,,,,
172,11,13,4,1954,1959,2035,2049,OO,5441,N216SW,41,50,29,-14,-5,PSP,LAX,110,3,9,0,,0,,,,,
173,3,9,7,2012,1955,16,5,WN,428,N742SW,124,130,107,11,17,PHX,OKC,833,5,12,0,,0,,,,,
174,4,5,6,728,730,1123,1132,CO,626,N19623,175,182,149,-9,-2,IAH,BWI,1235,6,20,0,,0,,,,,
175,8,4,1,2117,2121,2241,2259,9E,2973,85879E,84,98,66,-18,-4,DTW,AVL,470,4,14,0,,0,,,,,
176,2,18,1,1445,1435,1549,1550,WN,892,N675AA,64,75,49,-1,10,DEN,ABQ,349,4,11,0,,0,,,,,
177,5,1,4,854,900,1018,1032,FL,133,N956AT,84,92,65,-14,-6,TPA,ATL,406,9,10,0,,0,,,,,
178,6,25,3,1700,1625,1738,1715,UA,1141,N941UA,98,110,79,23,35,ROC,ORD,528,6,13,0,,0,0,0,23,0,0
179,3,23,7,1125,940,1310,1135,NW,211,N534US,285,295,267,95,105,DTW,SEA,1927,5,13,0,,0,95,0,0,0,0
180,7,7,1,706,650,822,820,OO,4052,N606SK,76,90,57,2,16,SLC,DEN,391,7,12,0,,0,,,,,
181,7,27,7,2147,2157,2254,2254,YV,2859,N449YV,67,57,46,0,-10,PHX,FLG,119,4,17,0,,0,,,,,
182,9,21,7,556,600,826,825,AA,1083,N445AA,210,205,171,1,-4,PHL,DFW,1302,13,26,0,,0,,,,,
183,1,18,5,936,935,1206,1201,NW,295,N363NB,210,206,184,5,1,MEM,PHX,1263,6,20,0,,0,,,,,
184,2,29,5,2059,1815,2344,2102,YV,7364,N27185,105,107,75,162,164,ORD,GSP,577,3,27,0,,0,162,0,0,0,0
185,9,24,3,229,230,645,700,AS,114,N581AS,196,210,178,-15,-1,ANC,SEA,1449,3,15,0,,0,,,,,
186,11,27,4,558,600,632,630,OO,5843,N961SW,94,90,64,2,-2,CAK,ORD,344,4,26,0,,0,,,,,
187,4,21,1,1649,1655,1824,1852,XE,2464,N14933,95,117,77,-28,-6,CLE,ATL,554,5,13,0,,0,,,,,
188,2,19,2,2050,2040,24,30,XE,2946,N11121,154,170,140,-6,10,IAH,DCA,1208,4,10,0,,0,,,,,
189,3,8,6,1655,1635,2309,2212,US,145,N675AW,254,217,204,57,20,PHX,CMH,1671,16,34,0,,0,0,0,37,0,20
190,6,26,4,1030,1030,1103,1102,YV,1003,N77278,33,32,22,1,0,OGG,HNL,100,6,5,0,,0,,,,,
191,8,30,6,1203,1205,1506,1520,AA,1616,N518AA,123,135,100,-14,-2,DFW,ATL,732,12,11,0,,0,,,,,
192,4,10,4,1253,1300,1402,1413,XE,1204,N16511,69,73,48,-11,-7,EWR,IAD,213,5,16,0,,0,,,,,
193,10,21,2,2140,2145,2358,10,WN,1552,N202WN,78,85,67,-12,-5,BNA,JAX,484,3,8,0,,0,,,,,
194,3,31,1,1817,1800,2027,1954,UA,1469,N401UA,190,174,173,33,17,MSY,DEN,1062,5,12,0,,0,7,0,16,0,10
195,9,20,6,2000,2005,2041,2050,MQ,3549,N923AE,41,45,20,-9,-5,DFW,TYR,103,4,17,0,,0,,,,,
196,10,20,1,2049,2020,2202,2145,AA,1108,N5EPAA,193,205,172,17,29,DFW,LAX,1235,10,11,0,,0,14,0,0,0,3
197,11,11,2,2219,2227,2342,2356,UA,1164,N430UA,83,89,64,-14,-8,SFO,SAN,447,3,16,0,,0,,,,,
198,4,22,2,1210,1215,1319,1326,CO,522,N19621,69,71,54,-7,-5,MSY,IAH,305,6,9,0,,0,,,,,
199,6,10,2,35,2145,224,2345,9E,5616,88089E,109,120,82,159,170,MSP,XNA,596,12,15,0,,0,159,0,0,0,0
200,9,4,4,1151,1200,1302,1319,US,1249,N958UW,71,79,55,-17,-9,BDL,DCA,313,7,9,0,,0,,,,,
201,2,6,3,1010,1015,1325,1331,B6,345,N537JB,195,196,158,-6,-5,JFK,SRQ,1041,2,35,0,,0,,,,,
202,6,29,7,1940,1718,2023,1805,9E,5833,86239E,43,47,18,138,142,DTW,LAN,74,3,22,0,,0,138,0,0,0,0
203,12,6,6,2220,2230,2245,2255,YV,2637,N904FJ,85,85,57,-10,-10,CLT,BHM,351,8,20,0,,0,,,,,
204,3,10,1,620,620,626,625,MQ,4312,N660CL,66,65,43,1,0,TOL,ORD,214,5,18,0,,0,,,,,
205,3,3,1,634,635,915,920,WN,3308,N661SW,101,105,85,-5,-1,BNA,TPA,612,5,11,0,,0,,,,,
206,4,21,1,2101,2102,2100,2109,NW,1143,N8920E,59,67,40,-9,-1,DTW,ORD,235,5,14,0,,0,,,,,
